key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
46123,0.0,2.9,3.0,3.5,3.6,3.8,3.7,3.5,3.2,2.7,2.2
46125,1.0,3.0,3.3,5.2,4.6,4.1,3.5,3.0,2.9,2.7,2.8
46127,1.0,3.0,3.4,6.0,5.8,5.2,4.8,4.2,3.7,3.4,3.1
46129,0.0,3.9,4.3,5.1,6.9,7.0,6.2,5.4,5.4,5.4,5.1
46135,0.0,2.6,2.8,5.6,4.9,4.5,3.7,3.3,3.0,2.6,2.6
46137,0.0,5.9,5.9,7.1,5.8,6.4,6.9,6.2,5.9,5.1,4.5
47000,,4.7,6.6,10.5,9.7,9.0,7.8,7.8,6.6,5.6,4.7
47001,1.0,4.2,5.8,9.9,9.3,8.8,7.9,7.9,6.8,5.8,4.8
47003,0.0,4.8,6.8,12.2,12.6,11.3,9.8,9.2,7.5,6.4,4.9
47005,0.0,6.1,8.7,13.9,12.3,11.4,9.8,9.8,8.8,7.7,7.1
47007,0.0,5.8,8.4,14.0,13.2,11.3,10.4,10.5,9.0,7.9,6.9
47009,1.0,3.9,6.2,9.9,9.1,8.2,7.1,7.0,6.0,5.2,4.4
47011,1.0,4.5,6.4,9.5,9.4,8.9,7.4,7.1,6.1,5.2,4.4
47013,1.0,5.3,7.8,13.2,12.5,11.7,11.1,11.1,9.3,7.9,6.9
47015,1.0,4.8,7.4,12.0,11.1,10.3,8.5,7.9,6.3,5.8,4.6
47017,0.0,6.3,9.1,16.0,14.6,12.1,10.9,11.9,10.1,8.3,6.7
47019,1.0,4.9,6.6,10.3,10.9,10.0,8.9,9.2,7.7,6.4,5.6
47021,1.0,3.8,5.5,9.4,9.0,8.5,7.2,6.6,5.5,4.8,4.0
47023,1.0,5.3,7.0,11.3,10.0,9.1,7.8,8.1,6.8,5.9,5.0
47025,0.0,5.4,7.5,12.1,10.8,11.0,9.9,10.7,8.6,7.2,6.2
47027,0.0,7.9,10.6,14.7,12.1,10.6,10.0,10.8,9.1,8.9,6.5
47029,0.0,6.3,8.8,14.0,13.6,13.2,11.5,10.9,9.0,7.8,6.3
47031,0.0,4.5,6.3,10.8,10.8,9.9,8.2,7.8,6.4,5.5,4.7
47033,1.0,6.1,8.9,13.1,11.6,10.5,9.2,9.1,7.6,6.4,5.2
47035,0.0,5.5,7.8,11.4,10.7,10.2,9.0,9.3,8.0,7.1,5.9
47037,1.0,3.8,5.4,8.9,8.2,7.5,6.2,5.9,5.0,4.4,3.6
47039,0.0,5.6,8.5,13.4,13.1,11.6,10.3,10.6,9.5,7.9,6.9
47041,0.0,4.4,6.7,10.9,11.7,11.1,9.6,10.1,8.2,6.9,5.5
47043,1.0,4.2,6.9,11.1,10.2,9.5,8.3,7.7,6.3,5.4,4.3
47045,0.0,5.0,7.5,13.9,12.1,12.4,11.0,10.5,8.2,7.2,6.2
47047,1.0,6.1,7.4,11.1,9.9,9.5,8.5,8.6,7.2,6.2,5.0
47049,0.0,6.3,9.4,13.4,12.4,11.4,9.7,9.8,8.5,7.3,6.1
47051,0.0,4.9,6.7,10.9,10.1,9.4,7.8,7.3,6.1,5.2,4.8
47053,0.0,6.9,9.5,14.7,12.0,11.4,10.3,11.0,8.9,7.4,5.8
47055,0.0,6.2,8.0,14.9,12.1,10.0,8.4,8.2,6.1,5.0,4.0
47057,1.0,5.3,8.0,14.0,12.7,11.7,10.3,10.0,8.2,6.6,5.4
47059,0.0,6.9,9.3,15.8,12.8,11.4,10.2,9.7,8.1,6.5,5.4
47061,0.0,5.9,8.4,14.1,12.6,12.4,10.1,10.1,9.4,7.8,6.4
47063,1.0,4.7,7.1,12.7,11.6,10.8,9.4,9.1,7.4,6.2,5.1
47065,1.0,3.9,5.7,9.0,8.3,7.8,6.9,7.2,6.2,5.3,4.6
47067,0.0,5.6,8.3,14.8,15.8,13.9,11.8,11.8,9.8,9.7,7.9
47069,0.0,6.5,8.6,12.7,13.2,12.1,10.9,11.1,9.3,7.5,6.1
47071,0.0,5.4,7.6,12.5,12.0,11.3,10.1,10.4,9.0,7.2,6.0
47073,1.0,4.6,6.7,11.3,10.9,9.9,8.8,8.8,7.3,6.4,5.4
47075,0.0,7.0,10.5,15.9,15.6,13.8,11.5,11.8,9.8,8.4,6.5
47077,0.0,6.5,10.2,18.1,14.3,11.2,9.7,10.5,8.6,8.0,6.8
47079,0.0,6.2,8.7,13.4,11.4,10.8,9.4,9.5,8.1,6.5,5.9
47081,1.0,5.4,8.4,13.0,11.1,10.3,8.9,8.3,6.6,5.7,4.6
47083,0.0,5.4,8.1,12.1,12.0,11.2,11.2,10.9,9.9,8.6,7.5
47085,0.0,5.5,8.5,12.8,11.2,10.5,9.5,8.8,7.8,6.7,6.0
47087,0.0,6.8,8.6,13.7,12.6,11.7,10.5,10.3,8.8,7.9,7.0
47089,1.0,5.1,7.1,12.6,11.5,10.5,9.4,9.1,7.4,6.4,5.3
47091,0.0,5.6,8.7,12.8,12.8,11.5,9.5,9.0,6.9,5.6,4.8
47093,1.0,3.4,5.0,8.1,7.4,6.9,6.1,6.3,5.4,4.7,4.0
47095,0.0,5.8,7.7,11.0,11.1,12.1,10.4,10.1,9.2,8.5,7.7
47097,0.0,6.6,12.4,18.8,14.2,12.4,10.9,11.7,9.8,8.8,7.7
47099,0.0,8.1,9.8,15.4,12.3,10.4,9.5,9.9,8.1,6.6,5.7
47101,0.0,7.3,10.0,15.7,15.0,12.9,10.8,10.6,9.0,7.3,5.9
47103,0.0,3.6,4.9,7.2,7.2,6.7,6.1,6.3,5.4,4.8,4.1
47105,1.0,3.9,5.7,9.7,9.3,8.6,7.6,7.8,6.7,5.6,4.7
47107,0.0,5.5,8.7,14.0,12.5,11.2,9.1,9.0,7.5,6.3,5.4
47109,0.0,6.0,9.1,14.0,12.8,11.3,10.3,11.7,10.6,8.5,7.0
47111,1.0,6.0,8.3,12.3,11.2,10.3,8.3,8.2,6.5,5.3,4.3
47113,1.0,4.9,6.7,10.6,10.0,9.3,8.1,8.1,6.8,5.9,4.8
47115,1.0,5.9,7.7,12.3,11.1,10.5,9.1,9.1,7.9,6.8,6.3
47117,0.0,7.5,9.2,17.4,14.0,11.4,9.4,8.2,6.3,5.6,4.6
47119,1.0,7.8,8.1,13.8,12.3,10.2,7.8,7.1,5.9,5.1,4.0
47121,0.0,6.2,8.9,14.6,13.1,12.0,10.3,10.3,8.7,7.6,6.8
47123,0.0,5.9,9.9,17.5,12.7,11.5,9.9,9.8,7.6,6.3,5.3
47125,1.0,4.7,6.3,8.9,8.5,8.5,7.6,7.6,6.7,5.8,5.1
47127,0.0,4.1,5.6,9.5,7.9,6.9,5.8,6.0,5.1,4.5,3.8
47129,1.0,5.8,7.6,11.3,11.4,10.8,10.2,10.2,8.8,7.5,6.4
47131,0.0,5.5,7.0,10.3,9.6,12.1,13.4,11.6,9.6,8.6,7.0
47133,0.0,7.2,9.0,13.4,10.7,10.2,8.9,9.0,7.9,7.1,5.3
47135,0.0,7.6,16.0,23.1,13.5,11.7,9.8,9.4,8.1,6.7,6.3
47137,0.0,8.1,10.7,15.0,11.1,11.3,9.4,9.5,8.9,7.7,6.5
47139,1.0,5.0,8.1,12.6,11.2,11.1,9.8,9.2,7.9,6.6,5.7
47141,0.0,4.5,6.4,9.7,9.4,8.9,8.0,8.0,6.9,5.8,4.9
47143,0.0,5.8,8.0,13.5,12.3,11.3,10.2,10.7,8.4,7.4,7.1
47145,1.0,4.4,5.9,9.1,9.2,9.1,8.6,9.0,7.6,6.5,5.5
47147,1.0,4.4,6.2,10.2,9.2,8.4,7.0,6.8,5.7,4.9,4.1
47149,1.0,3.7,5.8,9.7,8.9,7.9,6.5,6.2,5.2,4.5,3.7
47151,0.0,7.0,11.5,18.3,17.0,17.6,15.5,14.5,11.7,9.3,7.4
